Phenotype,Read code,Description,DESC_UKHD,DESC_UKHD_30,DESC_UKHD_60,DESC_UKHD_198,Category
UNSTABLE_ANGINA          ,G3113,Refractory angina                                                                                                                                                                                                                                              ,Refractory angina                                                                                                                                                                                     ,Refractory angina             ,,,Unstable Angina                                             
UNSTABLE_ANGINA          ,G3114,Worsening angina                                                                                                                                                                                                                                               ,Worsening angina                                                                                                                                                                                      ,Worsening angina              ,,,Unstable Angina                                             
UNSTABLE_ANGINA          ,G3115,Acute coronary syndrome                                                                                                                                                                                                                                        ,Acute coronary syndrome                                                                                                                                                                               ,Acute coronary syndrome       ,,,Unstable Angina                                             
UNSTABLE_ANGINA          ,G311z,Preinfarction syndrome NOS                                                                                                                                                                                                                                     ,Preinfarction syndrome NOS                                                                                                                                                                            ,Preinfarction syndrome NOS    ,,,Unstable Angina                                             
UNSTABLE_ANGINA          ,G312.,Coronary thrombosis not resulting in myocardial infarction                                                                                                                                                                                                     ,Coronary thrombosis not resulting in myocardial infarction                                                                                                                                            ,Coron thromb/not result in MI ,Coronary thrombosis not resulting in myocardial infarction  ,,Unstable Angina                                             
UNSTABLE_ANGINA          ,G31y0,Acute coronary insufficiency                                                                                                                                                                                                                                   ,Acute coronary insufficiency                                                                                                                                                                          ,Acute coronary insufficiency  ,,,Unstable Angina                                             
UNSTABLE_ANGINA              ,G33z0,Status anginosus                                                                                                                                                                                                                                               ,Status anginosus                                                                                                                                                                                      ,Status anginosus              ,,,Unstable Angina                                             
HF                  ,14A6.,H/O: heart failure                                                                                                                                                                                                                                             ,H/O: heart failure                                                                                                                                                                                    ,H/O: heart failure            ,,,History of Heart failure                                    
HF                  ,14AM.,H/O: Heart failure in last year                                                                                                                                                                                                                                ,H/O: Heart failure in last year                                                                                                                                                                       ,H/O:Heart failure in last year,H/O: Heart failure in last year                             ,,History of Heart failure                                    
HF                  ,1O1..,Heart failure confirmed                                                                                                                                                                                                                                        ,Heart failure confirmed                                                                                                                                                                               ,Heart failure confirmed       ,,,Diagnosis of Heart failure                                  
HF                  ,388D.,New York Heart Assoc classification heart failure symptoms                                                                                                                                                                                                     ,New York Heart Association classification of heart failure symptoms                                                                                                                                   ,NYHA classif heart fail symps ,New York Heart Assoc classification heart failure symptoms  ,New York Heart Association classification of heart failure symptoms                                                                                                                                   ,Diagnosis of Heart failure                                  
HF                  ,661M5,Heart failure self-management plan agreed                                                                                                                                                                                                                      ,Heart failure self-management plan agreed                                                                                                                                                             ,Heart fail slf-manag pln agree,Heart failure self-management plan agreed                   ,,History of Heart failure                                    
HF                  ,662T.,Congestive heart failure monitoring                                                                                                                                                                                                                            ,Congestive heart failure monitoring                                                                                                                                                                   ,Congestive heart failure monit,Congestive heart failure monitoring                         ,,History of Heart failure                                    
HF                  ,662W.,Heart failure annual review                                                                                                                                                                                                                                    ,Heart failure annual review                                                                                                                                                                           ,Heart failure annual review   ,,,History of Heart failure                                    
HF                  ,662f.,New York Heart Association classification - class I                                                                                                                                                                                                            ,New York Heart Association classification - class I                                                                                                                                                   ,NYHA classification - class I ,New York Heart Association classification - class I         ,,Diagnosis of Heart failure                                  
HF                  ,662g.,New York Heart Association classification - class II                                                                                                                                                                                                           ,New York Heart Association classification - class II                                                                                                                                                  ,NYHA classification - class II,New York Heart Association classification - class II        ,,Diagnosis of Heart failure                                  
HF                  ,662h.,New York Heart Association classification - class III                                                                                                                                                                                                          ,New York Heart Association classification - class III                                                                                                                                                 ,NYHA classification- class III,New York Heart Association classification - class III       ,,Diagnosis of Heart failure                                  
HF                  ,662i.,New York Heart Association classification - class IV                                                                                                                                                                                                           ,New York Heart Association classification - class IV                                                                                                                                                  ,NYHA classification - class IV,New York Heart Association classification - class IV        ,,Diagnosis of Heart failure                                  
HF                  ,662p.,Heart failure 6 month review                                                                                                                                                                                                                                   ,Heart failure 6 month review                                                                                                                                                                          ,Heart failure 6 month review  ,,,History of Heart failure                                    
HF                  ,679W1,Education about deteriorating heart failure                                                                                                                                                                                                                    ,Education about deteriorating heart failure                                                                                                                                                           ,Educatn deterior heart failure,Education about deteriorating heart failure                 ,,History of Heart failure                                    
HF                  ,679X.,Heart failure education                                                                                                                                                                                                                                        ,Heart failure education                                                                                                                                                                               ,Heart failure education       ,,,History of Heart failure                                    
HF                  ,8B29.,Cardiac failure therapy                                                                                                                                                                                                                                        ,Cardiac failure therapy                                                                                                                                                                               ,Cardiac failure therapy       ,,,Diagnosis of Heart failure                                  
HF                  ,8CL3.,Heart failure care plan discussed with patient                                                                                                                                                                                                                 ,Heart failure care plan discussed with patient                                                                                                                                                        ,HF care plan discussed with pt,Heart failure care plan discussed with patient              ,,History of Heart failure                                    
HF                  ,8CMK.,Has heart failure management plan                                                                                                                                                                                                                              ,Has heart failure management plan                                                                                                                                                                     ,Has heart failure manage plan ,Has heart failure management plan                           ,,History of Heart failure                                    
HF                  ,8CMW8,Heart failure clinical pathway                                                                                                                                                                                                                                 ,Heart failure clinical pathway                                                                                                                                                                        ,Heart failure clinical pathway,,,History of Heart failure                                    
HF                  ,8CeC.,Preferred place of care for next exacerbation heart failure                                                                                                                                                                                                    ,Preferred place of care for next exacerbation of heart failure                                                                                                                                        ,Pref pl cre nxt exacerbatin HF,Preferred place of care for next exacerbation heart failure ,Preferred place of care for next exacerbation of heart failure                                                                                                                                        ,History of Heart failure                                    
HF                  ,8H2S.,Admit heart failure emergency                                                                                                                                                                                                                                  ,Admit heart failure emergency                                                                                                                                                                         ,Admit heart failure emergency ,,,History of Heart failure                                    
HF                  ,8HBE.,Heart failure follow-up                                                                                                                                                                                                                                        ,Heart failure follow-up                                                                                                                                                                               ,Heart failure follow-up       ,,,History of Heart failure                                    
HF                  ,8HHz.,Referral to heart failure exercise programme                                                                                                                                                                                                                   ,Referral to heart failure exercise programme                                                                                                                                                          ,Ref to heart failur exerc prog,Referral to heart failure exercise programme                ,,History of Heart failure                                    
HF                  ,8Hk0.,Referred to heart failure education group                                                                                                                                                                                                                      ,Referred to heart failure education group                                                                                                                                                             ,Refd - heart fail educat group,Referred to heart failure education group                   ,,History of Heart failure                                    
HF                  ,9N2p.,Seen by community heart failure nurse                                                                                                                                                                                                                          ,Seen by community heart failure nurse                                                                                                                                                                 ,Seen by comm heart failur nurs,Seen by community heart failure nurse                       ,,History of Heart failure                                    
HF                  ,9N6T.,Referred by heart failure nurse specialist                                                                                                                                                                                                                     ,Referred by heart failure nurse specialist                                                                                                                                                            ,Ref by heart fail nurs special,Referred by heart failure nurse specialist                  ,,History of Heart failure                                    
HF                  ,9On..,Left ventricular dysfunction monitoring administration                                                                                                                                                                                                         ,Left ventricular dysfunction monitoring administration                                                                                                                                                ,LVD monitoring administration ,Left ventricular dysfunction monitoring administration      ,,History of Heart failure                                    
HF                  ,9On0.,Left ventricular dysfunction monitoring first letter                                                                                                                                                                                                           ,Left ventricular dysfunction monitoring first letter                                                                                                                                                  ,LVD monitoring first letter   ,Left ventricular dysfunction monitoring first letter        ,,History of Heart failure                                    
HF                  ,9On1.,Left ventricular dysfunction monitoring second letter                                                                                                                                                                                                          ,Left ventricular dysfunction monitoring second letter                                                                                                                                                 ,LVD monitoring second letter  ,Left ventricular dysfunction monitoring second letter       ,,History of Heart failure                                    
HF                  ,9On2.,Left ventricular dysfunction monitoring third letter                                                                                                                                                                                                           ,Left ventricular dysfunction monitoring third letter                                                                                                                                                  ,LVD monitoring third letter   ,Left ventricular dysfunction monitoring third letter        ,,History of Heart failure                                    
HF                  ,9On3.,Left ventricular dysfunction monitoring verbal invite                                                                                                                                                                                                          ,Left ventricular dysfunction monitoring verbal invite                                                                                                                                                 ,LVD monitoring verbal invite  ,Left ventricular dysfunction monitoring verbal invite       ,,History of Heart failure                                    
HF                  ,9On4.,Left ventricular dysfunction monitoring telephone invite                                                                                                                                                                                                       ,Left ventricular dysfunction monitoring telephone invite                                                                                                                                              ,LVD monitoring phone invite   ,Left ventricular dysfunction monitoring telephone invite    ,,History of Heart failure                                    
HF                  ,9Or..,Heart failure monitoring administration                                                                                                                                                                                                                        ,Heart failure monitoring administration                                                                                                                                                               ,Heart failure monitoring admin,Heart failure monitoring administration                     ,,History of Heart failure                                    
HF                  ,9Or0.,Heart failure review completed                                                                                                                                                                                                                                 ,Heart failure review completed                                                                                                                                                                        ,Heart failure review completed,,,History of Heart failure                                    
HF                  ,9Or1.,Heart failure monitoring telephone invite                                                                                                                                                                                                                      ,Heart failure monitoring telephone invite                                                                                                                                                             ,Heart fail monitr phone invite,Heart failure monitoring telephone invite                   ,,History of Heart failure                                    
HF                  ,9Or2.,Heart failure monitoring verbal invite                                                                                                                                                                                                                         ,Heart failure monitoring verbal invite                                                                                                                                                                ,Heart fail monit verbal invite,Heart failure monitoring verbal invite                      ,,History of Heart failure                                    
HF                  ,9Or3.,Heart failure monitoring first letter                                                                                                                                                                                                                          ,Heart failure monitoring first letter                                                                                                                                                                 ,Heart fail monitori 1st letter,Heart failure monitoring first letter                       ,,History of Heart failure                                    
HF                  ,9Or4.,Heart failure monitoring second letter                                                                                                                                                                                                                         ,Heart failure monitoring second letter                                                                                                                                                                ,Heart failure monit 2nd letter,Heart failure monitoring second letter                      ,,History of Heart failure                                    
HF                  ,9Or5.,Heart failure monitoring third letter                                                                                                                                                                                                                          ,Heart failure monitoring third letter                                                                                                                                                                 ,Heart fail monitori 3rd letter,Heart failure monitoring third letter                       ,,History of Heart failure                                    
HF                  ,9h1..,Exception reporting: LVD quality indicators                                                                                                                                                                                                                    ,Exception reporting: LVD quality indicators                                                                                                                                                           ,Except report: LVD quality ind,Exception reporting: LVD quality indicators                 ,,History of Heart failure                                    
HF                  ,9h11.,Excepted from LVD quality indicators: Patient unsuitable                                                                                                                                                                                                       ,Excepted from LVD quality indicators: Patient unsuitable                                                                                                                                              ,Except LVD qual ind: Pt unsuit,Excepted from LVD quality indicators: Patient unsuitable    ,,History of Heart failure                                    
HF                  ,9h12.,Excepted from LVD quality indicators: Informed dissent                                                                                                                                                                                                         ,Excepted from LVD quality indicators: Informed dissent                                                                                                                                                ,Except LVD qual ind: Infor dis,Excepted from LVD quality indicators: Informed dissent      ,,History of Heart failure                                    
HF                  ,9hH..,Exception reporting: heart failure quality indicators                                                                                                                                                                                                          ,Exception reporting: heart failure quality indicators                                                                                                                                                 ,Excep rep: heart fail qual ind,Exception reporting: heart failure quality indicators       ,,History of Heart failure                                    
HF                  ,9hH0.,Excepted heart failure quality indicators: Patient unsuitabl                                                                                                                                                                                                   ,Excepted from heart failure quality indicators: Patient unsuitable                                                                                                                                    ,Exc heart fai qual ind: Pt uns,Excepted heart failure quality indicators: Patient unsuitabl,Excepted from heart failure quality indicators: Patient unsuitable                                                                                                                                    ,History of Heart failure                                    
HF                  ,9hH1.,Excepted heart failure quality indicators: Informed dissent                                                                                                                                                                                                    ,Excepted from heart failure quality indicators: Informed dissent                                                                                                                                      ,Ex heart fai qual ind: Inf dis,Excepted heart failure quality indicators: Informed dissent ,Excepted from heart failure quality indicators: Informed dissent                                                                                                                                      ,History of Heart failure                                    
HF                  ,G1yz1,Rheumatic left ventricular failure                                                                                                                                                                                                                             ,Rheumatic left ventricular failure                                                                                                                                                                    ,Rheumatic left ventric.failure,Rheumatic left ventricular failure                          ,,Diagnosis of Heart failure                                  
HF                  ,G2101,Malignant hypertensive heart disease with CCF                                                                                                                                                                                                                  ,Malignant hypertensive heart disease with congestive cardiac failure                                                                                                                                  ,Malig.hypert.heart dis.-+ CCF ,Malignant hypertensive heart disease with CCF               ,Malignant hypertensive heart disease with congestive cardiac failure                                                                                                                                  ,Diagnosis of Heart failure                                  
HF                  ,G2111,Benign hypertensive heart disease with CCF                                                                                                                                                                                                                     ,Benign hypertensive heart disease with congestive cardiac failure                                                                                                                                     ,Benign hypert.heart dis-+ CCF ,Benign hypertensive heart disease with CCF                  ,Benign hypertensive heart disease with congestive cardiac failure                                                                                                                                     ,Diagnosis of Heart failure                                  
HF                  ,G21z1,Hypertensive heart disease NOS with CCF                                                                                                                                                                                                                        ,Hypertensive heart disease NOS with congestive cardiac failure                                                                                                                                        ,Hypertens.heart dis.NOS- + CCF,Hypertensive heart disease NOS with CCF                     ,Hypertensive heart disease NOS with congestive cardiac failure                                                                                                                                        ,Diagnosis of Heart failure                                  
HF                  ,G232.,Hypertensive heart&renal dis wth (congestive) heart failure                                                                                                                                                                                                    ,Hypertensive heart and renal disease with (congestive) heart failure                                                                                                                                  ,Hypert ht&ren d+(congs)ht fail,Hypertensive heart&renal dis wth (congestive) heart failure ,Hypertensive heart and renal disease with (congestive) heart failure                                                                                                                                  ,Diagnosis of Heart failure                                  
HF                  ,G234.,Hyperten heart&renal dis+both(congestv)heart and renal fail                                                                                                                                                                                                    ,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure                                                                                                           ,Hyp ht&ren d+both(con)h&r fail,Hyperten heart&renal dis+both(congestv)heart and renal fail ,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure                                                                                                           ,Diagnosis of Heart failure                                  
HF                  ,G400.,Acute cor pulmonale                                                                                                                                                                                                                                            ,Acute cor pulmonale                                                                                                                                                                                   ,Acute cor pulmonale           ,,,Diagnosis of Heart failure                                  
HF                  ,G41z.,Chronic cor pulmonale                                                                                                                                                                                                                                          ,Chronic pulmonary heart disease NOS                                                                                                                                                                   ,Chronic pulmon. heart dis. NOS,Chronic pulmonary heart disease NOS                         ,,Diagnosis of Heart failure                                  
HF                  ,G5540,Congestive cardiomyopathy                                                                                                                                                                                                                                      ,Congestive cardiomyopathy                                                                                                                                                                             ,Congestive cardiomyopathy     ,,,Diagnosis of Heart failure                                  
HF                  ,G58..,Heart failure                                                                                                                                                                                                                                                  ,Heart failure                                                                                                                                                                                         ,Heart failure                 ,,,Diagnosis of Heart failure                                  
HF                  ,G580.,Congestive heart failure                                                                                                                                                                                                                                       ,Congestive heart failure                                                                                                                                                                              ,Congestive heart failure      ,,,Diagnosis of Heart failure                                  
HF                  ,G5800,Acute congestive heart failure                                                                                                                                                                                                                                 ,Acute congestive heart failure                                                                                                                                                                        ,Acute congestive heart failure,,,Diagnosis of Heart failure                                  
HF                  ,G5801,Chronic congestive heart failure                                                                                                                                                                                                                               ,Chronic congestive heart failure                                                                                                                                                                      ,Chroncongestive heart failure ,Chronic congestive heart failure                            ,,Diagnosis of Heart failure                                  
HF                  ,G5802,Decompensated cardiac failure                                                                                                                                                                                                                                  ,Decompensated cardiac failure                                                                                                                                                                         ,Decompensated cardiac failure ,,,Diagnosis of Heart failure                                  
HF                  ,G5803,Compensated cardiac failure                                                                                                                                                                                                                                    ,Compensated cardiac failure                                                                                                                                                                           ,Compensated cardiac failure   ,,,Diagnosis of Heart failure                                  
HF                  ,G5804,Congestive heart failure due to valvular disease                                                                                                                                                                                                               ,Congestive heart failure due to valvular disease                                                                                                                                                      ,Cong heart fail due valv dis  ,Congestive heart failure due to valvular disease            ,,Diagnosis of Heart failure                                  
HF                  ,G581.,Left ventricular failure                                                                                                                                                                                                                                       ,Left ventricular failure                                                                                                                                                                              ,Left ventricular failure      ,,,Diagnosis of Heart failure                                  
HF                  ,G5810,Acute left ventricular failure                                                                                                                                                                                                                                 ,Acute left ventricular failure                                                                                                                                                                        ,Acute left ventricular failure,,,Diagnosis of Heart failure                                  
HF                  ,G582.,Acute heart failure                                                                                                                                                                                                                                            ,Acute heart failure                                                                                                                                                                                   ,Acute heart failure           ,,,Diagnosis of Heart failure                                  
HF                  ,G584.,Right ventricular failure                                                                                                                                                                                                                                      ,Right ventricular failure                                                                                                                                                                             ,Right ventricular failure     ,,,Diagnosis of Heart failure                                  
